20 20 35 true false
LIS 3 3 3 0 true
WILK 17 14 27 0 true
WILK 14 19 39 0 true
WILK 9 2 12 0 true
CZLOWIEK 12 1 35 0 true false true 0 0
ANTYLOPA 19 7 4 0 true
ANTYLOPA 19 6 4 0 true
ANTYLOPA 9 3 4 0 true
ANTYLOPA 2 17 7 4 true
ANTYLOPA 15 12 10 9 true
CYBER_OWCA 7 12 14 12 true
ANTYLOPA 16 9 4 20 true
ZOLW 16 1 26 0 true
ZOLW 0 3 2 0 true
WILCZE_JAGODY 5 3 99 0 true
BARSZCZ_SOSNOWSKIEGO 15 15 10 0 true
TRAWA 3 16 0 0 true
MLECZ 19 3 0 0 true
GUARANA 2 19 0 0 true
GUARANA 15 6 0 0 true
WILCZE_JAGODY 1 6 99 0 true
GUARANA 19 15 0 0 true
TRAWA 10 18 0 0 true
WILCZE_JAGODY 12 7 99 0 true
GUARANA 16 0 0 0 true
GUARANA 15 14 0 0 true
TRAWA 3 6 0 0 true
MLECZ 6 0 0 0 true
BARSZCZ_SOSNOWSKIEGO 11 16 10 0 true
TRAWA 0 13 0 0 true
GUARANA 13 16 0 0 true
MLECZ 1 19 0 0 true
WILCZE_JAGODY 11 15 99 0 true
TRAWA 0 8 0 0 true
WILCZE_JAGODY 10 17 99 0 true
WILCZE_JAGODY 4 13 99 0 true
WILCZE_JAGODY 0 19 99 0 true
MLECZ 0 11 0 0 true
MLECZ 12 6 0 0 true
GUARANA 3 19 0 1 true
GUARANA 15 5 0 1 true
WILCZE_JAGODY 1 7 99 1 true
WILCZE_JAGODY 11 7 99 1 true
MLECZ 5 0 0 1 true
TRAWA 12 16 0 1 true
TRAWA 0 14 0 1 true
WILCZE_JAGODY 11 14 99 1 true
MLECZ 7 16 0 1 true
MLECZ 0 10 0 1 true
MLECZ 1 11 0 1 true
MLECZ 0 12 0 1 true
GUARANA 15 2 0 1 true
MLECZ 12 5 0 1 true
MLECZ 19 4 0 2 true
WILCZE_JAGODY 0 6 99 2 true
WILCZE_JAGODY 13 7 99 2 true
GUARANA 14 14 0 2 true
TRAWA 3 7 0 2 true
MLECZ 8 1 0 2 true
GUARANA 4 4 0 2 true
TRAWA 1 8 0 2 true
GUARANA 4 19 0 2 true
WILCZE_JAGODY 2 7 99 2 true
GUARANA 18 0 0 2 true
MLECZ 4 0 0 2 true
MLECZ 7 1 0 2 true
TRAWA 1 14 0 2 true
MLECZ 8 14 0 2 true
MLECZ 6 16 0 2 true
MLECZ 7 17 0 2 true
MLECZ 6 14 0 2 true
MLECZ 0 9 0 2 true
MLECZ 1 10 0 2 true
MLECZ 1 12 0 2 true
MLECZ 14 6 0 2 true
WILCZE_JAGODY 5 4 99 3 true
MLECZ 19 2 0 3 true
WILCZE_JAGODY 12 8 99 3 true
TRAWA 1 13 0 3 true
TRAWA 0 7 0 3 true
WILCZE_JAGODY 11 17 99 3 true
WILCZE_JAGODY 3 13 99 3 true
MLECZ 11 6 0 3 true
TRAWA 5 16 0 3 true
GUARANA 3 18 0 3 true
TRAWA 8 18 0 3 true
WILCZE_JAGODY 11 8 99 3 true
MLECZ 2 18 0 3 true
MLECZ 8 16 0 3 true
MLECZ 19 3 0 3 true
GUARANA 17 6 0 3 true
WILCZE_JAGODY 2 8 99 3 true
MLECZ 3 0 0 3 true
MLECZ 7 14 0 3 true
MLECZ 6 17 0 3 true
MLECZ 6 13 0 3 true
MLECZ 2 10 0 3 true
MLECZ 14 5 0 3 true
TRAWA 2 16 0 4 true
WILCZE_JAGODY 1 5 99 4 true
WILCZE_JAGODY 10 16 99 4 true
WILCZE_JAGODY 10 14 99 4 true
MLECZ 11 5 0 4 true
GUARANA 16 2 0 4 true
GUARANA 5 19 0 4 true
MLECZ 9 14 0 4 true
MLECZ 6 15 0 4 true
MLECZ 5 14 0 4 true
MLECZ 1 9 0 4 true
MLECZ 19 1 0 4 true
MLECZ 18 2 0 4 true
MLECZ 13 3 0 4 true
TRAWA 5 15 0 4 true
MLECZ 2 1 0 4 true
MLECZ 3 2 0 4 true
MLECZ 8 17 0 4 true
MLECZ 9 16 0 4 true
MLECZ 8 3 0 4 true
MLECZ 11 4 0 4 true
MLECZ 2 0 0 4 true
MLECZ 3 1 0 4 true
MLECZ 5 13 0 4 true
MLECZ 2 9 0 4 true
MLECZ 14 4 0 4 true
WILCZE_JAGODY 6 3 99 5 true
GUARANA 18 15 0 5 true
GUARANA 13 17 0 5 true
WILCZE_JAGODY 9 17 99 5 true
MLECZ 12 4 0 5 true
GUARANA 14 15 0 5 true
WILCZE_JAGODY 11 18 99 5 true
GUARANA 17 2 0 5 true
TRAWA 0 15 0 5 true
MLECZ 7 15 0 5 true
MLECZ 17 3 0 5 true
WILCZE_JAGODY 10 15 99 5 true
GUARANA 6 19 0 5 true
MLECZ 4 14 0 5 true
MLECZ 19 0 0 5 true
MLECZ 13 4 0 5 true
MLECZ 8 4 0 5 true
MLECZ 15 4 0 5 true
GUARANA 13 15 0 6 true
WILCZE_JAGODY 4 12 99 6 true
MLECZ 1 1 0 6 true
WILCZE_JAGODY 10 7 99 6 true
WILCZE_JAGODY 11 13 99 6 true
GUARANA 15 3 0 6 true
GUARANA 17 11 0 6 true
WILCZE_JAGODY 10 8 99 6 true
MLECZ 12 3 0 6 true
GUARANA 6 5 0 6 true
MLECZ 9 13 0 6 true
GUARANA 16 11 0 6 true
MLECZ 17 7 0 6 true
GUARANA 14 17 0 6 true
TRAWA 13 14 0 6 true
WILCZE_JAGODY 2 6 99 7 true
GUARANA 19 16 0 7 true
GUARANA 14 16 0 7 true
MLECZ 8 15 0 7 true
GUARANA 14 12 0 7 true
MLECZ 14 3 0 7 true
MLECZ 9 4 0 7 true
WILCZE_JAGODY 6 4 99 7 true
GUARANA 13 18 0 7 true
WILCZE_JAGODY 11 19 99 7 true
MLECZ 8 5 0 7 true
WILCZE_JAGODY 9 7 99 7 true
WILCZE_JAGODY 10 13 99 7 true
MLECZ 17 8 0 7 true
MLECZ 13 5 0 8 true
MLECZ 10 5 0 8 true
GUARANA 16 3 0 8 true
