20 20 15 true false
LIS 3 8 18 0 true
LIS 9 1 15 0 true
LIS 18 0 3 0 true
LIS 13 5 3 0 true
LIS 15 1 3 0 true
LIS 18 6 3 0 true
WILK 12 3 12 0 true
WILK 16 8 9 0 true
CZLOWIEK 16 10 17 0 true false true 0 0
ANTYLOPA 14 5 4 0 true
CYBER_OWCA 11 10 11 0 true
CYBER_OWCA 9 8 11 0 true
CYBER_OWCA 11 14 11 0 true
OWCA 9 7 16 0 true
CYBER_OWCA 5 17 14 0 true
CYBER_OWCA 11 15 11 0 true
OWCA 4 7 4 0 true
ANTYLOPA 15 16 4 0 true
OWCA 3 10 4 0 true
CYBER_OWCA 4 16 14 0 true
CYBER_OWCA 1 17 17 0 true
CYBER_OWCA 7 19 20 0 true
CYBER_OWCA 9 9 11 0 true
CYBER_OWCA 10 9 11 0 true
CYBER_OWCA 5 16 11 0 true
CYBER_OWCA 12 16 14 1 true
ZOLW 3 14 2 0 true
ZOLW 0 9 2 0 true
ZOLW 15 7 2 0 true
ZOLW 6 7 2 0 true
ZOLW 17 4 5 0 true
ZOLW 15 4 2 0 true
ZOLW 0 1 2 0 true
ZOLW 19 15 2 0 true
WILCZE_JAGODY 15 14 99 0 true
TRAWA 3 2 0 0 true
GUARANA 8 18 0 0 true
WILCZE_JAGODY 14 0 99 0 true
TRAWA 5 18 0 0 true
WILCZE_JAGODY 2 9 99 0 true
WILCZE_JAGODY 19 11 99 0 true
WILCZE_JAGODY 18 3 99 0 true
TRAWA 17 18 0 0 true
WILCZE_JAGODY 17 19 99 0 true
TRAWA 5 10 0 0 true
BARSZCZ_SOSNOWSKIEGO 2 3 10 0 true
TRAWA 0 6 0 0 true
MLECZ 16 19 0 0 true
WILCZE_JAGODY 11 1 99 0 true
WILCZE_JAGODY 2 2 99 0 true
BARSZCZ_SOSNOWSKIEGO 5 1 10 0 true
TRAWA 7 9 0 0 true
TRAWA 11 4 0 0 true
BARSZCZ_SOSNOWSKIEGO 2 17 10 0 true
BARSZCZ_SOSNOWSKIEGO 3 19 10 0 true
WILCZE_JAGODY 13 11 99 0 true
MLECZ 13 7 0 0 true
WILCZE_JAGODY 4 2 99 0 true
GUARANA 7 6 0 0 true
BARSZCZ_SOSNOWSKIEGO 2 18 10 0 true
GUARANA 10 5 0 0 true
WILCZE_JAGODY 8 13 99 0 true
TRAWA 10 2 0 0 true
BARSZCZ_SOSNOWSKIEGO 7 10 10 0 true
WILCZE_JAGODY 7 2 99 0 true
TRAWA 13 15 0 1 true
GUARANA 9 18 0 1 true
TRAWA 12 11 0 1 true
WILCZE_JAGODY 15 0 99 1 true
WILCZE_JAGODY 18 2 99 1 true
WILCZE_JAGODY 18 19 99 1 true
MLECZ 16 18 0 1 true
MLECZ 15 19 0 1 true
MLECZ 15 17 0 1 true
TRAWA 6 9 0 1 true
MLECZ 15 8 0 1 true
WILCZE_JAGODY 4 1 99 1 true
GUARANA 7 5 0 1 true
WILCZE_JAGODY 7 13 99 1 true
MLECZ 2 16 0 1 true
WILCZE_JAGODY 8 2 99 1 true
WILCZE_JAGODY 14 1 99 2 true
WILCZE_JAGODY 18 11 99 2 true
WILCZE_JAGODY 19 3 99 2 true
GUARANA 18 5 0 2 true
BARSZCZ_SOSNOWSKIEGO 4 17 10 2 true
TRAWA 0 5 0 2 true
WILCZE_JAGODY 11 0 99 2 true
WILCZE_JAGODY 1 2 99 2 true
TRAWA 12 4 0 2 true
MLECZ 15 10 0 2 true
MLECZ 5 13 0 2 true
MLECZ 6 12 0 2 true
WILCZE_JAGODY 14 11 99 2 true
WILCZE_JAGODY 5 2 99 2 true
GUARANA 8 6 0 2 true
MLECZ 2 14 0 2 true
MLECZ 16 17 0 2 true
MLECZ 15 18 0 2 true
MLECZ 13 4 0 2 true
MLECZ 3 16 0 2 true
GUARANA 8 17 0 3 true
TRAWA 0 15 0 3 true
WILCZE_JAGODY 12 1 99 3 true
BARSZCZ_SOSNOWSKIEGO 6 1 10 3 true
MLECZ 14 9 0 3 true
GUARANA 11 5 0 3 true
WILCZE_JAGODY 9 13 99 3 true
WILCZE_JAGODY 6 2 99 3 true
MLECZ 10 18 0 3 true
TRAWA 11 11 0 3 true
WILCZE_JAGODY 16 0 99 3 true
MLECZ 14 19 0 3 true
MLECZ 3 12 0 3 true
MLECZ 12 12 0 3 true
WILCZE_JAGODY 18 10 99 3 true
GUARANA 16 13 0 3 true
MLECZ 15 11 0 3 true
MLECZ 14 10 0 3 true
MLECZ 6 11 0 3 true
MLECZ 2 13 0 3 true
MLECZ 14 18 0 3 true
MLECZ 4 10 0 3 true
MLECZ 13 3 0 3 true
MLECZ 12 5 0 3 true
MLECZ 11 12 0 3 true
MLECZ 3 17 0 3 true
WILCZE_JAGODY 16 14 99 4 true
TRAWA 6 10 0 4 true
WILCZE_JAGODY 11 2 99 4 true
WILCZE_JAGODY 2 1 99 4 true
WILCZE_JAGODY 4 3 99 4 true
GUARANA 0 14 0 4 true
MLECZ 13 14 0 4 true
MLECZ 10 16 0 4 true
TRAWA 19 12 0 4 true
MLECZ 12 6 0 4 true
WILCZE_JAGODY 8 1 99 4 true
WILCZE_JAGODY 19 2 99 4 true
WILCZE_JAGODY 12 0 99 4 true
WILCZE_JAGODY 0 2 99 4 true
MLECZ 7 12 0 4 true
WILCZE_JAGODY 5 3 99 4 true
GUARANA 9 6 0 4 true
MLECZ 1 1 0 4 true
MLECZ 13 17 0 4 true
WILCZE_JAGODY 9 14 99 4 true
TRAWA 10 11 0 4 true
MLECZ 17 6 0 4 true
MLECZ 16 7 0 4 true
MLECZ 15 12 0 4 true
MLECZ 13 10 0 4 true
MLECZ 7 11 0 4 true
MLECZ 3 13 0 4 true
MLECZ 4 14 0 4 true
MLECZ 16 15 0 4 true
MLECZ 13 18 0 4 true
MLECZ 4 9 0 4 true
MLECZ 10 12 0 4 true
MLECZ 3 18 0 4 true
WILCZE_JAGODY 14 14 99 5 true
GUARANA 5 8 0 5 true
MLECZ 15 3 0 5 true
GUARANA 10 6 0 5 true
WILCZE_JAGODY 8 14 99 5 true
WILCZE_JAGODY 7 1 99 5 true
WILCZE_JAGODY 17 2 99 5 true
WILCZE_JAGODY 19 19 99 5 true
MLECZ 4 13 0 5 true
GUARANA 18 4 0 5 true
